symbol,name,sector,impact,first_hop
ROST,Ross Stores,Consumer Discretionary,4.400888555691004e-05,2
BSX,Boston Scientific,Health Care,4.35760173889325e-05,2
BAX,Baxter International,Health Care,4.3105530570985226e-05,2
PPG,PPG Industries,Materials,4.302012459497482e-05,2
CARR,Carrier Global,Industrials,4.173548192978557e-05,2
APTV,Aptiv,Consumer Discretionary,4.144269507348577e-05,2
HSIC,Henry Schein,Health Care,4.1239953886278094e-05,2
NOW,ServiceNow,Information Technology,4.091266294922624e-05,2
TSCO,Tractor Supply,Consumer Discretionary,4.007381891742945e-05,2
DHI,D. R. Horton,Consumer Discretionary,3.977993699998961e-05,2
GPC,Genuine Parts Company,Consumer Discretionary,3.7124609737807484e-05,2
PCAR,Paccar,Industrials,3.6581929808257374e-05,2
HAL,Halliburton,Energy,3.5970319167453164e-05,2
REGN,Regeneron Pharmaceuticals,Health Care,3.5175878332617576e-05,2
AME,Ametek,Industrials,3.35557085851316e-05,2
VLTO,Veralto,Industrials,3.267573514519809e-05,2
SCHW,Charles Schwab Corporation,Financials,3.235608823694122e-05,2
POOL,Pool Corporation,Consumer Discretionary,3.201582079947055e-05,2
CMCSA,Comcast,Communication Services,3.1162042887118916e-05,2
ADSK,Autodesk,Information Technology,3.086434095492442e-05,2
GNRC,Generac,Industrials,3.084243865168246e-05,2
MSCI,MSCI Inc.,Financials,3.0287860726946697e-05,2
LII,Lennox International,Industrials,3.0186546127422696e-05,2
BBY,Best Buy,Consumer Discretionary,2.988329999624187e-05,2
DG,Dollar General,Consumer Staples,2.9230724990802333e-05,2
AES,AES Corporation,Utilities,2.8893236354680185e-05,2
STE,Steris,Health Care,2.8415302593105356e-05,2
GWW,W. W. Grainger,Industrials,2.8131169773264527e-05,2
DVA,DaVita,Health Care,2.792988286543349e-05,2
NDSN,Nordson Corporation,Industrials,2.693793598833408e-05,2
BEN,Franklin Resources,Financials,2.638592340358036e-05,2
IT,Gartner,Information Technology,2.611808939510286e-05,3
VRTX,Vertex Pharmaceuticals,Health Care,2.484349165019603e-05,2
DOW,Dow Inc.,Materials,2.4769268540605276e-05,2
JBHT,J.B. Hunt,Industrials,2.4171987614128437e-05,2
WDAY,"Workday, Inc.",Information Technology,2.3356908896413906e-05,2
NUE,Nucor,Materials,2.2737980494690196e-05,2
APD,Air Products,Materials,2.1024936583926744e-05,2
LVS,Las Vegas Sands,Consumer Discretionary,2.0620850356414623e-05,3
RVTY,Revvity,Health Care,2.0421286360491424e-05,2
NFLX,Netflix,Communication Services,2.006901293462793e-05,2
DPZ,Domino's,Consumer Discretionary,1.964511181410864e-05,2
MTD,Mettler Toledo,Health Care,1.9417078452101448e-05,2
SW,Smurfit Westrock,Materials,1.7998015080685774e-05,2
PNR,Pentair,Industrials,1.760313070231468e-05,2
OKE,Oneok,Energy,1.71158396085255e-05,3
CRL,Charles River Laboratories,Health Care,1.6701852370268966e-05,2
ISRG,Intuitive Surgical,Health Care,1.5843096125966562e-05,3
MRNA,Moderna,Health Care,1.5093415081471574e-05,2
TRGP,Targa Resources,Energy,1.488065356962938e-05,3
CTRA,Coterra,Energy,1.4206753127415442e-05,3
PANW,Palo Alto Networks,Information Technology,1.3349238847746225e-05,3
CRM,Salesforce,Information Technology,1.3201597920938706e-05,3
FFIV,"F5, Inc.",Information Technology,1.2517235367352055e-05,2
EQT,EQT Corporation,Energy,1.0970416933032199e-05,3
AOS,A. O. Smith,Industrials,1.043328951151647e-05,3
TMO,Thermo Fisher Scientific,Health Care,1.0100380855645413e-05,3
EXE,Expand Energy,Energy,9.618055745438845e-06,3
IP,International Paper,Materials,8.119795136086613e-06,3
CBRE,CBRE Group,Real Estate,8.003378642746508e-06,3
COP,ConocoPhillips,Energy,7.862675337158568e-06,3
ALLE,Allegion,Industrials,7.678052124413806e-06,3
OXY,Occidental Petroleum,Energy,7.4636604739927526e-06,3
FAST,Fastenal,Industrials,7.436933957546617e-06,3
EOG,EOG Resources,Energy,7.258465490532766e-06,3
CTVA,Corteva,Materials,7.21713429346469e-06,3
DVN,Devon Energy,Energy,7.136442146762045e-06,3
APA,APA Corporation,Energy,6.490035512450737e-06,3
FANG,Diamondback Energy,Energy,6.4032206883626026e-06,3
PSX,Phillips 66,Energy,6.354175028329377e-06,3
TECH,Bio-Techne,Health Care,6.339678453198515e-06,3
CDW,CDW Corporation,Information Technology,6.257661720411768e-06,3
VLO,Valero Energy,Energy,5.9435865399617895e-06,3
DHR,Danaher Corporation,Health Care,5.869975383474767e-06,3
MPC,Marathon Petroleum,Energy,5.7175422514349175e-06,3
LYB,LyondellBasell,Materials,5.465488295763973e-06,3
FTNT,Fortinet,Information Technology,5.088187746759455e-06,3
FSLR,First Solar,Information Technology,4.855531090638395e-06,3
CHTR,Charter Communications,Communication Services,4.647025220716426e-06,3
SLB,Schlumberger,Energy,4.523373528815421e-06,3
EQIX,Equinix,Real Estate,4.492138624676748e-06,3
DLTR,Dollar Tree,Consumer Staples,4.098214712833529e-06,3
IRM,Iron Mountain,Real Estate,4.028591790567092e-06,3
FDX,FedEx,Industrials,3.917360687154276e-06,3
PKG,Packaging Corporation of America,Materials,3.901456675000146e-06,3
INCY,Incyte,Health Care,3.83292090598814e-06,3
GPN,Global Payments,Financials,3.7756600690629413e-06,3
EFX,Equifax,Industrials,3.552654628637942e-06,3
BKR,Baker Hughes,Energy,3.4236813987659253e-06,3
XYL,Xylem Inc.,Industrials,3.2788071512449954e-06,3
EBAY,eBay Inc.,Consumer Discretionary,3.261490005939588e-06,3
AMCR,Amcor,Materials,3.126960139772472e-06,3
TDG,TransDigm Group,Industrials,3.0578927688117252e-06,3
ADBE,Adobe Inc.,Information Technology,3.0142908747748156e-06,3
A,Agilent Technologies,Health Care,2.8826230242176483e-06,3
IQV,IQVIA,Health Care,2.7838890790653113e-06,3
EPAM,EPAM Systems,Information Technology,2.476280053705177e-06,3
TGT,Target Corporation,Consumer Staples,2.4197319060151435e-06,3
UPS,United Parcel Service,Industrials,2.2503369744490528e-06,3
CSX,CSX Corporation,Industrials,2.204356371987376e-06,3
UNP,Union Pacific Corporation,Industrials,2.0438386156485187e-06,3
SNA,Snap-on,Industrials,2.0268759571769197e-06,3
WAT,Waters Corporation,Health Care,1.8717207258672236e-06,3
IBM,IBM,Information Technology,1.5085144420175271e-06,3
PTC,PTC Inc.,Information Technology,1.0320535743680053e-06,3
TPL,Texas Pacific Land Corporation,Energy,4.872751424315582e-07,3
HON,Honeywell,Industrials,0.0,-1
SOLV,Solventum,Health Care,0.0,-1
J,Jacobs Solutions,Industrials,0.0,-1
NWS,News Corp (Class B),Communication Services,0.0,-1
NWSA,News Corp (Class A),Communication Services,0.0,-1
OMC,Omnicom Group,Communication Services,0.0,-1
NKE,"Nike, Inc.",Consumer Discretionary,0.0,-1
WST,West Pharmaceutical Services,Health Care,0.0,-1
PSKY,Paramount Skydance Corporation,Communication Services,0.0,-1
PODD,Insulet Corporation,Health Care,0.0,-1
IDXX,Idexx Laboratories,Health Care,0.0,-1
NSC,Norfolk Southern,Industrials,0.0,-1
LYV,Live Nation Entertainment,Communication Services,0.0,-1
LLY,Lilly (Eli),Health Care,0.0,-1
LULU,Lululemon Athletica,Consumer Discretionary,0.0,-1
MMM,3M,Industrials,0.0,-1
RMD,ResMed,Health Care,0.0,-1
SATS,EchoStar,Communication Services,0.0,-1
SBUX,Starbucks,Consumer Discretionary,0.0,-1
GEN,Gen Digital,Information Technology,0.0,-1
GEHC,GE HealthCare,Health Care,0.0,-1
GDDY,GoDaddy,Information Technology,0.0,-1
GRMN,Garmin,Consumer Discretionary,0.0,-1
DXCM,Dexcom,Health Care,0.0,-1
TTD,Trade Desk (The),Communication Services,0.0,-1
TTWO,Take-Two Interactive,Communication Services,0.0,-1
