symbol,name,sector,sub_industry,degree_centrality,weighted_degree,betweenness,eigenvector,closeness
HAS,Hasbro,Consumer Discretionary,Leisure Products,0.0,0.0,0.0,4.297616962637649e-15,0.0
HBAN,Huntington Bancshares,Financials,Regional Banks,0.058,14.705954017776705,0.0,0.007671008170275628,0.13360935965267234
HCA,HCA Healthcare,Health Care,Health Care Facilities,0.078,13.40028226470364,0.006589178356713426,0.030313891752448124,0.14505713015814825
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,0.028,6.1899541084454865,0.00047294589178356714,0.001113938109484894,0.12038632012024662
HIG,Hartford (The),Financials,Property & Casualty Insurance,0.17,34.57803602534488,0.0023727454909819637,0.061712160690055556,0.16302729905478813
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,0.008,1.3516186204506704,0.00010420841683366733,0.0004745731897622214,0.10087909011318882
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.008,1.779909686532456,0.0,0.0005770100814942785,0.10560037298996339
HON,Honeywell,Industrials,Industrial Conglomerates,0.0,0.0,0.0,4.297616962637649e-15,0.0
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,0.154,28.49465408069989,0.012753507014028055,0.05319262781121273,0.16807478710221344
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0.134,23.827877397410447,0.0021322645290581164,0.0513590239290633,0.15691702219409698
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.008,1.5433503909988735,0.000529058116232465,0.0009562441470604867,0.11042423485586456
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,0.192,36.326664701375066,0.001034068136272545,0.0687173476187061,0.16845547846744655
HSIC,Henry Schein,Health Care,Health Care Distributors,0.002,0.30629353320581076,0.0,6.0780204676112685e-05,0.089884628759131
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,0.006,1.0638630201061514,4.809619238476954e-05,8.887983872767706e-05,0.09190365409647032
