symbol,name,sector,event_day_return,model_predicted,actual_post_event
NDAQ,"Nasdaq, Inc.",Financials,0.022600686794806125,2.3392024925706924e-05,0.017530307028396686
MCO,Moody's Corporation,Financials,0.016606276459435534,2.1533719164567e-05,0.020344398512818475
EOG,EOG Resources,Energy,0.01969807013091854,2.0759632813060822e-05,0.02580163547976697
INTC,Intel,Information Technology,-0.03201920720911079,2.0531498395407597e-05,0.024765427383573606
INTU,Intuit,Information Technology,-0.03145064003152295,2.0406797068944085e-05,0.05673218399053798
EIX,Edison International,Utilities,0.03772470831892426,1.916584366332766e-05,-0.004858110490032654
ABNB,Airbnb,Consumer Discretionary,-0.043230031707837124,1.8399992152476093e-05,0.03539355240350722
HAL,Halliburton,Energy,0.023778545045516013,1.8360179657935742e-05,0.06728596641124922
ADM,Archer Daniels Midland,Consumer Staples,0.01758557027408756,-1.7746291112940573e-05,0.0048132465344594266
FANG,Diamondback Energy,Energy,0.02230607858017502,1.7303888985339844e-05,0.009081622725690274
WDAY,"Workday, Inc.",Information Technology,0.016537390759072842,1.719681155738277e-05,0.0381501470304125
PCG,PG&E Corporation,Utilities,0.035131076263479485,1.6868107196279148e-05,-0.013452936097679707
SW,Smurfit Westrock,Materials,0.04450028762198661,1.6797908208660897e-05,0.04973452792057041
HSY,Hershey Company (The),Consumer Staples,0.021865845344603837,1.4852301992155823e-05,0.01688124085778612
BLK,BlackRock,Financials,0.02776807960362416,1.358025526894418e-05,0.022855518746607108
GE,GE Aerospace,Industrials,-0.005753725434288547,1.3303643543947916e-05,0.00572703071986881
APTV,Aptiv,Consumer Discretionary,0.03792257485496042,1.2289256796788734e-05,0.0228723613686602
BKNG,Booking Holdings,Consumer Discretionary,-0.010379163654318428,1.17700860519341e-05,0.045362888856363234
GNRC,Generac,Industrials,0.03845300924876242,1.1536074879043073e-05,0.07010149038403511
PFG,Principal Financial Group,Financials,0.036544202625807584,1.129593867407267e-05,0.03502547230219903
HWM,Howmet Aerospace,Industrials,-0.007254527136731502,1.0364775594309759e-05,0.021361835234779556
TRMB,Trimble Inc.,Information Technology,0.01829976545974883,1.0279282588689985e-05,0.041099299817586823
NTAP,NetApp,Information Technology,-0.00478074198923022,9.477082289895971e-06,0.000988231767028367
BKR,Baker Hughes,Energy,0.031795557475054394,9.082787546841086e-06,0.0505686008127584
CF,CF Industries,Materials,0.006846398088646353,8.858322571809308e-06,0.0397126049852567
GILD,Gilead Sciences,Health Care,0.03209433679204135,-8.85117774512298e-06,0.023587021704762456
CVNA,Carvana,Consumer Discretionary,0.033097696206049465,-8.495786686633079e-06,0.109944821631112
SLB,Schlumberger,Energy,0.02166604650262966,8.435523277736974e-06,0.05332641285537226
EA,Electronic Arts,Communication Services,0.033024003325512336,8.32412374032216e-06,0.009384522778109649
ZBH,Zimmer Biomet,Health Care,0.022716487713405814,-8.109469733835792e-06,-0.006770199383221645
ORCL,Oracle Corporation,Information Technology,0.017496458957686062,-7.867558497569065e-06,-0.0010512197163187213
MSCI,MSCI Inc.,Financials,0.009321169637942684,7.054337315164089e-06,0.028654608430230617
TROW,T. Rowe Price,Financials,0.023313092588801813,6.874699440362571e-06,0.030096559991122256
TPL,Texas Pacific Land Corporation,Energy,0.04575069977603681,6.390020916178763e-06,0.04843174313291018
NOW,ServiceNow,Information Technology,0.006871412763500265,6.000604940075039e-06,0.015431496881916695
SNPS,Synopsys,Information Technology,0.001315034212891683,-5.884400652305276e-06,0.006990033832675998
VLTO,Veralto,Industrials,0.014523016258301342,5.09673146950845e-06,0.021396783902615867
RCL,Royal Caribbean Group,Consumer Discretionary,0.00030644279712011566,5.022554917912338e-06,0.05310555198539195
IP,International Paper,Materials,0.008425019872789654,5.005468676413477e-06,0.0588272196209749
AMGN,Amgen,Health Care,0.028644843982206895,-4.884201492018898e-06,0.02446068905067999
STLD,Steel Dynamics,Materials,0.043468235800087185,-4.422921482269724e-06,0.02240252258531561
CRM,Salesforce,Information Technology,-0.005202926325840208,4.264801660279821e-06,0.019363750034460052
RTX,RTX Corporation,Industrials,0.006014979187972479,4.261309921554798e-06,0.019085309984455904
LH,Labcorp,Health Care,0.03402695025198062,4.056334355873973e-06,0.04850152484150828
PFE,Pfizer,Health Care,0.03334820974345846,-4.0344884404126944e-06,0.028887901438016436
SWKS,Skyworks Solutions,Information Technology,0.03272599132458347,3.9430442136246025e-06,0.09311675729052107
TSCO,Tractor Supply,Consumer Discretionary,0.021382022281288146,3.6283836550652465e-06,0.07457811172486903
STZ,Constellation Brands,Consumer Staples,0.02846936301518301,-3.4855184996417844e-06,-0.044463994852170854
EXPE,Expedia Group,Consumer Discretionary,0.0012439274319069587,3.4131420525321765e-06,0.08185769150931593
CPAY,Corpay,Financials,0.03983145574868499,-3.2736661685600016e-06,0.04596377903768552
ELV,Elevance Health,Health Care,0.00861660899310207,3.2504541259194093e-06,0.03555250112769048
DDOG,Datadog,Information Technology,0.004412623885651385,3.249170066818148e-06,0.027758036931630925
LDOS,Leidos,Industrials,0.026532141202809938,3.144095918415806e-06,0.019019047414943195
NSC,Norfolk Southern,Industrials,0.033083978364504975,2.7072471961773575e-06,0.06080040566036044
HII,Huntington Ingalls Industries,Industrials,0.039589519510992516,2.6940238813833456e-06,0.0607321679359903
PANW,Palo Alto Networks,Information Technology,-0.015407469209061973,2.555972603108114e-06,0.02228485254274251
FTNT,Fortinet,Information Technology,-0.025028565520740266,-2.3279348834780775e-06,0.011668325908855345
NUE,Nucor,Materials,0.056352119694494926,2.2323254067765783e-06,0.04417810236388091
PYPL,PayPal,Financials,0.016640475087234746,-2.1450796590882062e-06,0.029887290476934864
DLR,Digital Realty,Real Estate,0.028487837122869997,2.135597754924353e-06,0.028746723136470104
BDX,Becton Dickinson,Health Care,0.015546613035632519,-2.061365090532348e-06,0.02528449011090903
ALGN,Align Technology,Health Care,0.03501883234319808,1.8725109157425897e-06,-0.034776427752599245
ADSK,Autodesk,Information Technology,0.019524487042409455,-1.7744656680947602e-06,0.020096591246948556
BMY,Bristol Myers Squibb,Health Care,-0.0026956529241701993,1.5782437777274207e-06,0.010982444158320118
REGN,Regeneron Pharmaceuticals,Health Care,0.0245900233463167,-1.4467902317137643e-06,0.013534213895199026
AME,Ametek,Industrials,0.03113162763925744,1.225856009827125e-06,0.038750455613208216
IT,Gartner,Information Technology,-0.0010494496395551988,1.212456291860798e-06,0.04045556918996245
ROST,Ross Stores,Consumer Discretionary,0.02667901126367768,1.0362417745826581e-06,-0.012881000398328726
